text,x,y
覚醒(arousing),0.0,1.15
沈静(sleepy),0.0,-1.15
快(pleasure),1.15,0.0
不快(unpleasure),-1.15,0.0
覚醒した ●,-0.010760951586639311,0.93242185948608
● 驚愕した,0.09364549823265414,0.9046824734898129
● 興奮した,0.25,0.9404682473489812
警戒 ●,-0.5440128678660792,0.9201318559116727
怒り ●,-0.5871241907939158,0.5901346360061952
恐れ ●,-0.6426426784224951,0.7633782120020652
緊張 ●,-0.8015052226061404,0.5585289328408594
悩み ●,-0.9889630247428411,0.3568569045633263
不愉快 ●,-0.8921402756265142,0.2663886572143451
フラストレーション ●,-0.8906350530203742,0.17909766074903688
● 幸福感,0.9063545017673459,0.35702371023471935
● 喜び,0.9588625441836449,0.1617061837245325
● 嬉しい,0.6936454982326541,0.2777592438142897
● 愉快,0.6332777314428688,0.4700663251121964
惨めな ●,-0.9413042614877482,-0.2811033003693554
落ち込む ●,-0.7777592438142904,-0.3493307915326261
哀しみ ●,-0.7316057031653359,-0.427090035346916
憂うつ ●,-0.8777592438142895,-0.5112037809285518
退屈 ●,-0.6951507208387941,-0.5921402756265141
けだるい ●,-0.5553516819571869,-0.6889630247428412
疲れ ●,-0.49347869256126153,-0.8397990388816077
● 満足,0.8730767703244766,-0.04916398586123352
● 充足,0.9637118233448507,-0.1555184876285794
● 穏やか,0.8397990388816077,-0.3857857738591685
● 落ち着き,0.8556852932999719,-0.4508360141387665
● くつろぎ,0.7222407561857105,-0.5444815123714207
● 安心,0.7571905159061123,-0.4951507208387942
● 眠気,0.025418007069383464,-0.9254180070693832
